iter	Passed	Remaining
528	11601	10329
529	11620	10305
530	11639	10280
531	11658	10256
532	11677	10231
533	11696	10206
534	11714	10182
535	11733	10157
536	11754	10134
537	11773	10110
538	11793	10086
539	11817	10066
540	11835	10041
541	11851	10014
542	11870	9990
543	11888	9965
544	11906	9939
545	11922	9913
546	11956	9901
547	11976	9878
548	12001	9859
549	12020	9834
550	12038	9809
551	12056	9784
552	12076	9761
553	12092	9735
554	12111	9711
555	12129	9686
556	12147	9661
557	12165	9636
558	12189	9616
559	12214	9596
560	12232	9572
561	12247	9545
562	12264	9519
563	12278	9491
564	12293	9464
565	12310	9439
566	12326	9413
567	12345	9389
568	12362	9363
569	12383	9341
570	12402	9318
571	12422	9294
572	12442	9272
573	12463	9249
574	12480	9224
575	12496	9199
576	12513	9173
577	12529	9147
578	12547	9123
579	12562	9096
580	12576	9070
581	12600	9049
582	12617	9024
583	12637	9002
584	12663	8983
585	12691	8966
586	12721	8950
587	12738	8925
588	12756	8901
589	12773	8876
590	12790	8851
591	12806	8826
592	12822	8800
593	12838	8774
594	12852	8748
595	12871	8724
596	12888	8700
597	12906	8676
598	12922	8650
599	12938	8625
600	12957	8602
601	12979	8581
602	13001	8559
603	13028	8541
604	13055	8524
605	13076	8501
606	13094	8477
607	13112	8453
608	13130	8430
609	13147	8406
610	13165	8381
611	13181	8356
612	13199	8333
613	13229	8317
614	13247	8293
615	13264	8268
616	13283	8245
617	13298	8220
618	13321	8199
619	13349	8181
620	13376	8163
621	13402	8144
622	13419	8120
623	13436	8096
624	13453	8071
625	13469	8047
626	13484	8021
627	13499	7996
628	13515	7971
629	13534	7949
630	13551	7924
631	13566	7899
632	13601	7885
633	13634	7871
634	13685	7866
635	13726	7856
636	13767	7845
637	13809	7835
638	13843	7820
639	13877	7806
640	13912	7791
641	13944	7776
642	13971	7757
643	13988	7732
644	14005	7708
645	14021	7683
646	14039	7660
647	14054	7634
648	14070	7609
649	14085	7584
650	14101	7559
651	14117	7535
652	14132	7509
653	14149	7485
654	14165	7461
655	14181	7436
656	14198	7412
657	14214	7388
658	14246	7371
659	14266	7349
660	14283	7325
661	14300	7301
662	14317	7277
663	14334	7253
664	14352	7230
665	14369	7206
666	14388	7183
667	14405	7159
668	14421	7135
669	14439	7112
670	14457	7088
671	14474	7065
672	14491	7041
673	14508	7017
674	14526	6994
675	14542	6970
676	14569	6951
677	14587	6928
678	14606	6905
679	14623	6881
680	14644	6859
681	14662	6836
682	14681	6813
683	14700	6791
684	14718	6768
685	14735	6744
686	14754	6722
687	14773	6699
688	14791	6676
689	14808	6653
690	14831	6632
691	14848	6609
692	14865	6585
693	14882	6562
694	14902	6540
695	14919	6516
696	14935	6492
697	14952	6469
698	14967	6445
699	14981	6420
700	14999	6397
701	15013	6373
702	15031	6350
703	15048	6327
704	15063	6303
705	15080	6279
706	15094	6255
707	15112	6232
708	15128	6209
709	15144	6185
710	15160	6162
711	15176	6138
712	15193	6115
713	15208	6091
714	15223	6068
715	15246	6047
716	15265	6025
717	15283	6002
718	15299	5979
719	15316	5956
720	15333	5933
721	15349	5910
722	15366	5887
723	15386	5865
724	15408	5844
725	15423	5821
726	15441	5798
727	15456	5774
728	15474	5752
729	15490	5729
730	15504	5705
731	15522	5682
732	15536	5659
733	15552	5636
734	15568	5613
735	15583	5589
736	15601	5567
737	15615	5543
738	15633	5521
739	15649	5498
740	15664	5475
741	15683	5453
742	15699	5430
743	15714	5407
744	15732	5385
745	15747	5361
746	15764	5339
747	15779	5316
748	15796	5293
749	15810	5270
750	15827	5247
751	15854	5228
752	15877	5208
753	15894	5185
754	15913	5163
755	15931	5141
756	15946	5118
757	15962	5096
758	15979	5073
759	15996	5051
760	16012	5028
761	16040	5009
762	16054	4986
763	16069	4963
764	16085	4941
765	16102	4918
766	16119	4896
767	16136	4874
768	16153	4852
769	16169	4829
770	16185	4807
771	16207	4786
772	16224	4764
773	16243	4742
774	16270	4723
775	16289	4701
776	16305	4679
777	16323	4657
778	16343	4636
779	16359	4614
780	16379	4592
781	16396	4570
782	16414	4549
783	16433	4527
784	16452	4506
785	16468	4483
786	16489	4462
787	16506	4440
788	16526	4419
789	16544	4397
790	16562	4376
791	16577	4353
792	16595	4332
793	16614	4310
794	16634	4289
795	16652	4267
796	16671	4246
797	16690	4224
798	16709	4203
799	16740	4185
800	16767	4165
801	16793	4146
802	16821	4126
803	16845	4106
804	16862	4084
805	16880	4063
806	16896	4040
807	16912	4018
808	16930	3997
809	16947	3975
810	16964	3953
811	16983	3932
812	17002	3910
813	17018	3888
814	17035	3866
815	17054	3845
816	17072	3824
817	17091	3802
818	17109	3781
819	17127	3759
820	17141	3737
821	17156	3715
822	17172	3693
823	17187	3671
824	17204	3649
825	17222	3627
826	17238	3606
827	17256	3584
828	17282	3564
829	17298	3543
830	17314	3521
831	17334	3500
832	17351	3478
833	17370	3457
834	17387	3435
835	17405	3414
836	17423	3393
837	17442	3371
838	17461	3350
839	17478	3329
840	17499	3308
841	17529	3289
842	17545	3267
843	17561	3245
844	17576	3224
845	17591	3202
846	17610	3181
847	17627	3159
848	17644	3138
849	17659	3116
850	17674	3094
851	17690	3073
852	17705	3051
853	17721	3029
854	17737	3008
855	17753	2986
856	17770	2965
857	17787	2943
858	17805	2922
859	17822	2901
860	17839	2879
861	17862	2859
862	17884	2839
863	17902	2818
864	17921	2797
865	17940	2775
866	17956	2754
867	17976	2733
868	17994	2712
869	18012	2691
870	18027	2670
871	18045	2648
872	18060	2627
873	18076	2605
874	18094	2584
875	18115	2564
876	18133	2543
877	18150	2522
878	18169	2501
879	18187	2480
880	18206	2459
881	18224	2438
882	18243	2417
883	18263	2396
884	18287	2376
885	18308	2355
886	18327	2334
887	18344	2313
888	18361	2292
889	18380	2271
890	18395	2250
891	18414	2229
892	18432	2208
893	18451	2187
894	18468	2166
895	18486	2145
896	18506	2125
897	18524	2104
898	18543	2083
899	18559	2062
